"date","btc_usd","buy_bitcoin","id","is_partial","period_interval","trend_ratio","update_timestamp"
"2018-12-09 00:00:00+00:00",53,12,27207,False,"1d",0.22642,"2019-03-06 00:01:52.875479+00:00"
"2018-12-10 00:00:00+00:00",55,11,27208,False,"1d",0.20000,"2019-03-06 00:01:52.879437+00:00"
"2018-12-11 00:00:00+00:00",45,11,27209,False,"1d",0.24444,"2019-03-06 00:01:52.883703+00:00"
"2018-12-12 00:00:00+00:00",54,13,27210,False,"1d",0.24074,"2019-03-06 00:01:52.887325+00:00"
"2018-12-13 00:00:00+00:00",47,12,27211,False,"1d",0.25532,"2019-03-06 00:01:52.890743+00:00"
"2018-12-14 00:00:00+00:00",42,10,27212,False,"1d",0.23810,"2019-03-06 00:01:52.893911+00:00"
"2018-12-15 00:00:00+00:00",48,16,27213,False,"1d",0.33333,"2019-03-06 00:01:52.897106+00:00"
"2018-12-16 00:00:00+00:00",36,12,27214,False,"1d",0.33333,"2019-03-06 00:01:52.900646+00:00"
"2018-12-17 00:00:00+00:00",52,11,27215,False,"1d",0.21154,"2019-03-06 00:01:52.904804+00:00"
"2018-12-18 00:00:00+00:00",52,14,27216,False,"1d",0.26923,"2019-03-06 00:01:52.908246+00:00"
"2018-12-19 00:00:00+00:00",66,12,27217,False,"1d",0.18182,"2019-03-06 00:01:52.912085+00:00"
"2018-12-20 00:00:00+00:00",66,15,27218,False,"1d",0.22727,"2019-03-06 00:01:52.916522+00:00"
"2018-12-21 00:00:00+00:00",53,12,27219,False,"1d",0.22642,"2019-03-06 00:01:52.920198+00:00"
"2018-12-22 00:00:00+00:00",51,12,27220,False,"1d",0.23529,"2019-03-06 00:01:52.924003+00:00"
"2018-12-23 00:00:00+00:00",47,13,27221,False,"1d",0.27660,"2019-03-06 00:01:52.927148+00:00"
"2018-12-24 00:00:00+00:00",66,14,27222,False,"1d",0.21212,"2019-03-06 00:01:52.930728+00:00"
"2018-12-25 00:00:00+00:00",61,12,27223,False,"1d",0.19672,"2019-03-06 00:01:52.933997+00:00"
"2018-12-26 00:00:00+00:00",47,15,27224,False,"1d",0.31915,"2019-03-06 00:01:52.937676+00:00"
