"id","crypto_traded","currency_quoted","data_source","period_close","period_high","period_interval","period_low","period_open","period_start_timestamp","period_volume","search_trend_id","update_timestamp"
9360,"BTC","USD","Nomics https://api.nomics.com/v1/candles",286.3781300000,295.3278900000,"1d",284.6086800000,287.6510800000,"2015-07-15T00:00:00Z",9671959.0000000000,28483,"2019-03-05 23:58:57.492775+00:00"
9361,"BTC","USD","Nomics https://api.nomics.com/v1/candles",278.8177000000,294.3255900000,"1d",275.0799800000,285.3476800000,"2015-07-16T00:00:00Z",18853696.0000000000,28484,"2019-03-05 23:58:57.543653+00:00"
9362,"BTC","USD","Nomics https://api.nomics.com/v1/candles",280.2315200000,281.8763200000,"1d",272.3806700000,279.1597600000,"2015-07-17T00:00:00Z",10242117.0000000000,28485,"2019-03-05 23:58:57.578345+00:00"
9363,"BTC","USD","Nomics https://api.nomics.com/v1/candles",277.8206600000,284.2897100000,"1d",276.6957000000,280.1387300000,"2015-07-18T00:00:00Z",6194771.0000000000,28486,"2019-03-05 23:58:57.617727+00:00"
9364,"BTC","USD","Nomics https://api.nomics.com/v1/candles",275.4974400000,279.3006200000,"1d",275.0004300000,277.8393400000,"2015-07-19T00:00:00Z",3768092.0000000000,28487,"2019-03-05 23:58:57.653332+00:00"
9365,"BTC","USD","Nomics https://api.nomics.com/v1/candles",280.4527300000,280.6804900000,"1d",274.1057900000,275.7410100000,"2015-07-20T00:00:00Z",5973673.0000000000,28488,"2019-03-05 23:58:57.688222+00:00"
9366,"BTC","USD","Nomics https://api.nomics.com/v1/candles",276.3981000000,282.5343200000,"1d",275.8118000000,280.5401300000,"2015-07-21T00:00:00Z",5968491.0000000000,28489,"2019-03-05 23:58:57.725188+00:00"
9367,"BTC","USD","Nomics https://api.nomics.com/v1/candles",278.5020800000,279.1958000000,"1d",274.9138300000,276.7081900000,"2015-07-22T00:00:00Z",5549351.0000000000,28490,"2019-03-05 23:58:57.762381+00:00"
9368,"BTC","USD","Nomics https://api.nomics.com/v1/candles",277.7430000000,281.4788200000,"1d",276.4992800000,278.9841600000,"2015-07-23T00:00:00Z",3901455.0000000000,28491,"2019-03-05 23:58:57.795625+00:00"
9369,"BTC","USD","Nomics https://api.nomics.com/v1/candles",288.7675300000,290.5376100000,"1d",276.2766300000,276.8982800000,"2015-07-24T00:00:00Z",10829732.0000000000,28492,"2019-03-05 23:58:57.831609+00:00"
9370,"BTC","USD","Nomics https://api.nomics.com/v1/candles",289.5835200000,292.2455900000,"1d",286.5385300000,288.8249700000,"2015-07-25T00:00:00Z",5288751.0000000000,28493,"2019-03-05 23:58:57.866888+00:00"
9371,"BTC","USD","Nomics https://api.nomics.com/v1/candles",293.5361700000,294.7671100000,"1d",288.5164900000,289.8060800000,"2015-07-26T00:00:00Z",4704222.0000000000,28494,"2019-03-05 23:58:57.900280+00:00"
9372,"BTC","USD","Nomics https://api.nomics.com/v1/candles",294.5661100000,298.3277400000,"1d",286.1415300000,293.2631200000,"2015-07-27T00:00:00Z",10842142.0000000000,28495,"2019-03-05 23:58:57.934268+00:00"
9373,"BTC","USD","Nomics https://api.nomics.com/v1/candles",295.2438500000,298.5057000000,"1d",293.4720300000,294.3948200000,"2015-07-28T00:00:00Z",7020585.0000000000,28496,"2019-03-05 23:58:57.975156+00:00"
9374,"BTC","USD","Nomics https://api.nomics.com/v1/candles",290.6609500000,297.0534300000,"1d",287.4409600000,295.4895800000,"2015-07-29T00:00:00Z",7696206.0000000000,28497,"2019-03-05 23:58:58.009686+00:00"
9375,"BTC","USD","Nomics https://api.nomics.com/v1/candles",288.8471600000,291.2843800000,"1d",285.3894200000,289.9874600000,"2015-07-30T00:00:00Z",6561332.0000000000,28498,"2019-03-05 23:58:58.043125+00:00"
9376,"BTC","USD","Nomics https://api.nomics.com/v1/candles",284.9100700000,290.6274800000,"1d",282.1811600000,288.5269400000,"2015-07-31T00:00:00Z",7328592.0000000000,28499,"2019-03-05 23:58:58.083085+00:00"
9377,"BTC","USD","Nomics https://api.nomics.com/v1/candles",283.0087100000,287.2109500000,"1d",277.8375700000,285.4807400000,"2015-08-01T00:00:00Z",5532578.0000000000,28500,"2019-03-05 23:58:58.119036+00:00"
9378,"BTC","USD","Nomics https://api.nomics.com/v1/candles",283.2361600000,284.1054000000,"1d",276.8394200000,281.0327500000,"2015-08-02T00:00:00Z",4979718.0000000000,28501,"2019-03-05 23:58:58.156001+00:00"
9379,"BTC","USD","Nomics https://api.nomics.com/v1/candles",281.9511600000,287.4050600000,"1d",280.1421300000,282.6997800000,"2015-08-03T00:00:00Z",6597769.0000000000,28502,"2019-03-05 23:58:58.190986+00:00"
9380,"BTC","USD","Nomics https://api.nomics.com/v1/candles",286.1920600000,286.8292300000,"1d",281.4113700000,281.8754700000,"2015-08-04T00:00:00Z",6206723.0000000000,28503,"2019-03-05 23:58:58.228116+00:00"
9381,"BTC","USD","Nomics https://api.nomics.com/v1/candles",282.6572700000,286.3659000000,"1d",280.9493400000,285.7522600000,"2015-08-05T00:00:00Z",5015444.0000000000,28504,"2019-03-05 23:58:58.284099+00:00"
9382,"BTC","USD","Nomics https://api.nomics.com/v1/candles",279.6988100000,283.3866900000,"1d",278.8242100000,283.1937100000,"2015-08-06T00:00:00Z",5055560.0000000000,28505,"2019-03-05 23:58:58.346763+00:00"
9383,"BTC","USD","Nomics https://api.nomics.com/v1/candles",280.5845000000,282.1188800000,"1d",276.9848300000,279.9696700000,"2015-08-07T00:00:00Z",6574654.0000000000,28506,"2019-03-05 23:58:58.402473+00:00"
9384,"BTC","USD","Nomics https://api.nomics.com/v1/candles",261.5518500000,276.7064900000,"1d",261.3693600000,276.7064900000,"2015-08-08T00:00:00Z",12891267.0000000000,28507,"2019-03-05 23:58:58.452926+00:00"
9385,"BTC","USD","Nomics https://api.nomics.com/v1/candles",267.1567500000,267.1567500000,"1d",261.8331400000,261.8331400000,"2015-08-09T00:00:00Z",7924347.0000000000,28508,"2019-03-05 23:58:58.504547+00:00"
9386,"BTC","USD","Nomics https://api.nomics.com/v1/candles",265.8921200000,268.8524500000,"1d",265.7500500000,267.2632200000,"2015-08-10T00:00:00Z",5744761.0000000000,28509,"2019-03-05 23:58:58.557434+00:00"
9387,"BTC","USD","Nomics https://api.nomics.com/v1/candles",272.4363800000,283.9183300000,"1d",272.4363800000,283.9183300000,"2015-08-11T00:00:00Z",7665551.0000000000,28510,"2019-03-05 23:58:58.591415+00:00"
9388,"BTC","USD","Nomics https://api.nomics.com/v1/candles",268.2317200000,278.4580800000,"1d",268.2317200000,278.4580800000,"2015-08-12T00:00:00Z",8702364.0000000000,28511,"2019-03-05 23:58:58.624493+00:00"
9389,"BTC","USD","Nomics https://api.nomics.com/v1/candles",263.4827500000,305.9055500000,"1d",263.4827500000,305.9055500000,"2015-08-13T00:00:00Z",8580238.0000000000,28512,"2019-03-05 23:58:58.658408+00:00"
9390,"BTC","USD","Nomics https://api.nomics.com/v1/candles",264.5594700000,264.5594700000,"1d",263.5141900000,263.5141900000,"2015-08-14T00:00:00Z",9525702.0000000000,28513,"2019-03-05 23:58:58.694343+00:00"
9391,"BTC","USD","Nomics https://api.nomics.com/v1/candles",264.8802000000,264.8802000000,"1d",263.9458600000,263.9458600000,"2015-08-15T00:00:00Z",6274684.0000000000,28514,"2019-03-05 23:58:58.732530+00:00"
9392,"BTC","USD","Nomics https://api.nomics.com/v1/candles",259.3237500000,259.8110600000,"1d",259.3237500000,259.8110600000,"2015-08-16T00:00:00Z",12190632.0000000000,28515,"2019-03-05 23:58:58.765993+00:00"
9393,"BTC","USD","Nomics https://api.nomics.com/v1/candles",258.0038100000,258.0038100000,"1d",250.1100000000,250.1100000000,"2015-08-17T00:00:00Z",6851094.0000000000,28516,"2019-03-05 23:58:58.799708+00:00"
9394,"BTC","USD","Nomics https://api.nomics.com/v1/candles",215.7639500000,258.6079200000,"1d",179.4227200000,258.6079200000,"2015-08-18T00:00:00Z",24370537.0000000000,28517,"2019-03-05 23:58:58.837579+00:00"
9395,"BTC","USD","Nomics https://api.nomics.com/v1/candles",226.9411200000,252.0144100000,"1d",204.9936900000,219.3839000000,"2015-08-19T00:00:00Z",24170988.0000000000,28518,"2019-03-05 23:58:58.871674+00:00"
9396,"BTC","USD","Nomics https://api.nomics.com/v1/candles",236.1124800000,236.4866800000,"1d",233.9929800000,233.9929800000,"2015-08-20T00:00:00Z",11832991.0000000000,28519,"2019-03-05 23:58:58.904831+00:00"
9397,"BTC","USD","Nomics https://api.nomics.com/v1/candles",232.9903400000,234.1565700000,"1d",232.6812800000,234.1565700000,"2015-08-21T00:00:00Z",7482125.0000000000,28520,"2019-03-05 23:58:58.941090+00:00"
9398,"BTC","USD","Nomics https://api.nomics.com/v1/candles",230.2781400000,233.2766200000,"1d",222.8832600000,232.3647300000,"2015-08-22T00:00:00Z",8375752.0000000000,28521,"2019-03-05 23:58:58.979994+00:00"
9399,"BTC","USD","Nomics https://api.nomics.com/v1/candles",229.5055800000,230.6090100000,"1d",228.0735500000,230.6090100000,"2015-08-23T00:00:00Z",5824605.0000000000,28522,"2019-03-05 23:58:59.016294+00:00"
9400,"BTC","USD","Nomics https://api.nomics.com/v1/candles",210.9202000000,229.0372400000,"1d",208.7923100000,228.8338000000,"2015-08-24T00:00:00Z",18754822.0000000000,28523,"2019-03-05 23:58:59.050530+00:00"
9401,"BTC","USD","Nomics https://api.nomics.com/v1/candles",223.4869600000,228.6142200000,"1d",198.8953500000,210.4895300000,"2015-08-25T00:00:00Z",25025242.0000000000,28524,"2019-03-05 23:58:59.085325+00:00"
9402,"BTC","USD","Nomics https://api.nomics.com/v1/candles",226.5758800000,233.0119100000,"1d",221.5404300000,223.0598900000,"2015-08-26T00:00:00Z",10787909.0000000000,28525,"2019-03-05 23:58:59.118432+00:00"
9403,"BTC","USD","Nomics https://api.nomics.com/v1/candles",226.4012800000,230.4585300000,"1d",224.4099100000,226.3718200000,"2015-08-27T00:00:00Z",6612852.0000000000,28526,"2019-03-05 23:58:59.156121+00:00"
9404,"BTC","USD","Nomics https://api.nomics.com/v1/candles",232.6567800000,238.5471100000,"1d",221.3704100000,226.4550300000,"2015-08-28T00:00:00Z",10998709.0000000000,28527,"2019-03-05 23:58:59.191351+00:00"
9405,"BTC","USD","Nomics https://api.nomics.com/v1/candles",231.1641500000,234.2154300000,"1d",228.4776800000,232.4209300000,"2015-08-29T00:00:00Z",4492348.0000000000,28528,"2019-03-05 23:58:59.227431+00:00"
9406,"BTC","USD","Nomics https://api.nomics.com/v1/candles",230.8698000000,236.3710700000,"1d",230.8698000000,236.3710700000,"2015-08-30T00:00:00Z",4982838.0000000000,28529,"2019-03-05 23:58:59.260593+00:00"
9407,"BTC","USD","Nomics https://api.nomics.com/v1/candles",229.9484500000,230.2623000000,"1d",229.3329200000,230.1129000000,"2015-08-31T00:00:00Z",6384930.0000000000,28530,"2019-03-05 23:58:59.294379+00:00"
9408,"BTC","USD","Nomics https://api.nomics.com/v1/candles",228.4347300000,232.2210500000,"1d",227.0689000000,231.1580500000,"2015-09-01T00:00:00Z",6213673.0000000000,28531,"2019-03-05 23:58:59.334973+00:00"
9409,"BTC","USD","Nomics https://api.nomics.com/v1/candles",230.3787500000,230.9900100000,"1d",227.8623900000,227.8623900000,"2015-09-02T00:00:00Z",5402450.0000000000,28532,"2019-03-05 23:58:59.366922+00:00"
9410,"BTC","USD","Nomics https://api.nomics.com/v1/candles",228.6700300000,230.5139300000,"1d",228.6574500000,230.0260000000,"2015-09-03T00:00:00Z",5067877.0000000000,28533,"2019-03-05 23:58:59.400082+00:00"
9411,"BTC","USD","Nomics https://api.nomics.com/v1/candles",231.2639000000,231.6986700000,"1d",227.7867900000,227.7867900000,"2015-09-04T00:00:00Z",5475169.0000000000,28534,"2019-03-05 23:58:59.435826+00:00"
9412,"BTC","USD","Nomics https://api.nomics.com/v1/candles",235.9453300000,238.7305000000,"1d",230.6556800000,231.5552500000,"2015-09-05T00:00:00Z",5806631.0000000000,28535,"2019-03-05 23:58:59.469546+00:00"
9413,"BTC","USD","Nomics https://api.nomics.com/v1/candles",241.0676600000,246.6560600000,"1d",235.7066400000,235.8246900000,"2015-09-06T00:00:00Z",7714305.0000000000,28536,"2019-03-05 23:58:59.503094+00:00"
9414,"BTC","USD","Nomics https://api.nomics.com/v1/candles",241.0993400000,242.1285900000,"1d",239.5277400000,240.4491300000,"2015-09-07T00:00:00Z",4244087.0000000000,28537,"2019-03-05 23:58:59.536236+00:00"
9415,"BTC","USD","Nomics https://api.nomics.com/v1/candles",244.0904100000,247.2208100000,"1d",240.5421900000,241.0724600000,"2015-09-08T00:00:00Z",7973028.0000000000,28538,"2019-03-05 23:58:59.577892+00:00"
9416,"BTC","USD","Nomics https://api.nomics.com/v1/candles",238.8795000000,244.6000800000,"1d",238.4000300000,243.7469800000,"2015-09-09T00:00:00Z",6542862.0000000000,28539,"2019-03-05 23:58:59.636791+00:00"
9417,"BTC","USD","Nomics https://api.nomics.com/v1/candles",239.0968000000,241.5913400000,"1d",237.4134100000,238.5822200000,"2015-09-10T00:00:00Z",5656880.0000000000,28540,"2019-03-05 23:58:59.696695+00:00"
